method,method_label,primary_param,primary_value,sway_coef,tag,wer,sim_A,sim_B,mcd_A,duration_s,output_wav
A,Method A — SDEdit (noise injection),noise_level,0.2,0.8,a0.20_sp0.8,95.0,0.1692,0.2985,647.62,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.20_sp0.8.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,0.9,a0.20_sp0.9,2190.0,0.1649,0.3102,646.32,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.20_sp0.9.wav
A,Method A — SDEdit (noise injection),noise_level,0.2,1.0,a0.20_sp1.0,1660.0,0.1684,0.3228,645.66,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.20_sp1.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.25,-1.0,a0.25_sn1.0,95.0,0.5611,0.5204,719.83,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.25_sn1.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.25,-0.9,a0.25_sn0.9,95.0,0.5334,0.4943,720.61,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.25_sn0.9.wav
A,Method A — SDEdit (noise injection),noise_level,0.25,-0.8,a0.25_sn0.8,100.0,0.4812,0.4456,719.45,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.25_sn0.8.wav
A,Method A — SDEdit (noise injection),noise_level,0.25,-0.7,a0.25_sn0.7,100.0,0.3658,0.3127,714.32,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.25_sn0.7.wav
A,Method A — SDEdit (noise injection),noise_level,0.25,-0.6,a0.25_sn0.6,100.0,0.33,0.2828,710.15,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.25_sn0.6.wav
A,Method A — SDEdit (noise injection),noise_level,0.25,-0.5,a0.25_sn0.5,100.0,0.3121,0.2763,705.97,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.25_sn0.5.wav
A,Method A — SDEdit (noise injection),noise_level,0.25,-0.4,a0.25_sn0.4,100.0,0.2978,0.2734,702.02,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.25_sn0.4.wav
A,Method A — SDEdit (noise injection),noise_level,0.25,-0.3,a0.25_sn0.3,100.0,0.285,0.2713,698.72,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.25_sn0.3.wav
A,Method A — SDEdit (noise injection),noise_level,0.25,-0.2,a0.25_sn0.2,100.0,0.2675,0.2735,694.59,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.25_sn0.2.wav
A,Method A — SDEdit (noise injection),noise_level,0.25,-0.1,a0.25_sn0.1,100.0,0.2516,0.2695,690.66,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.25_sn0.1.wav
A,Method A — SDEdit (noise injection),noise_level,0.25,-0.0,a0.25_sn0.0,100.0,0.2385,0.2709,685.68,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.25_sn0.0.wav
A,Method A — SDEdit (noise injection),noise_level,0.25,0.1,a0.25_sp0.1,95.0,0.2232,0.2644,680.06,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.25_sp0.1.wav
A,Method A — SDEdit (noise injection),noise_level,0.25,0.2,a0.25_sp0.2,95.0,0.2066,0.2602,674.64,12.256,C:\Users\User\Documents\MSc\Studies\New folder\results\extension_2\method_A\audio\a0.25_sp0.2.wav
